"","Country.Name","NY.GDP.PCAP.CD.Mean_10_Years","IT.NET.USER.ZS.Mean_10_Years","IT.CEL.SETS.P2.Mean_10_Years","SL.TLF.ADVN.ZS.Mean_10_Years","PV.PER.RNK.Mean_10_Years","Cluster","GDP - Rank","Internet User - Rank","Cell User - Rank","% Work Force with Adv Degree - Rank","Political Stability - Rank","Composite-Score","Composite-Rank"
"155","Marshall Islands",4807.48486001245,31.207719688,34.076650988,78.818,71.8742458343506,2,92,131,168,75,42,101.6,110.5
"156","Mauritania",1823.68637620086,33.235406067,108.144643497,73.76,22.8330696105957,2,131,128,91,117,130,119.4,132.5
"157","Mauritius",10177.7473169654,56.302501366,141.77989215,78.738,77.7920516967773,2,64,93,23,77,34,58.2,48
"158","Mexico",9979.88214578547,60.688813818,94.612956253,77.914,20.9831014633179,2,65,82,115,84,133,95.8,104.5
"159","Micronesia, Fed. Sts.",3335.76984383448,35.371131249,22.069574321,82.01,89.0031707763672,2,112,123,169,47,12,92.6,96
"164","Moldova",3939.9114645658,50.74289581,116.64092517,71.018,36.7593307495117,2,105,103,71,136,105,104,114
"165","Monaco",194422.638771548,90.60145584,94.91965413,57.98,87.3093292236328,3,1,14,114,166,15,62,52
"166","Mongolia",4206.66355819391,43.317669335,123.05075168,69.742,69.8781158447266,2,100,109,58,145,45,91.4,93.5
"167","Montenegro",8072.76068768199,72.362794247,172.05421667,78.894,50.0829647064209,2,70,56,5,74,82,57.4,46
"169","Mozambique",534.055421661548,10.9392819478,52.186685495,76.31,19.8653673171997,2,164,163,153,97,137,142.8,160
"170","Myanmar",1235.01057830323,24.905408429,98.972365201,68.88,10.906077671051,2,143,140,106,149,153,138.2,156
"171","Namibia",5093.73865378218,36.183658091,115.73230651,80.262,67.3717906951904,2,90,120,78,63,53,80.8,80
"172","Nauru",9833.93465872932,69.360174908,83.336307576,80.078,71.6999420166016,2,66,61,131,64,43,73,69
"173","Nepal",1047.99740065451,30.38360104,116.117455642,67.67,26.6376575469971,2,146,133,75,151,128,126.6,144
"174","Netherlands",51638.4056900897,92.204192273,120.76184429,80.453,80.2077919006348,4,15,10,63,60,28,35.2,16
"176","New Zealand",43518.904067477,88.972919921,121.12464465,82.096,98.2037322998047,4,25,18,62,46,1,30.4,12
"177","Nicaragua",2002.48142906492,35.799083287,107.044481559,85.64,32.5884142875671,2,128,121,96,15,112,94.4,99
"178","Niger",540.837764995774,11.2494252384,46.405347262,69.288,9.71740894317627,2,163,162,161,146,156,157.6,166
"179","Nigeria",2372.85663847265,37.221717453,85.798936406,72.97,5.30637059211731,2,122,118,127,121,164,130.4,148
"181","North Macedonia",5762.9114833248,75.837643833,96.554669991,80.599,43.1400875091553,2,86,49,108,54,93,78,78
"183","Norway",84739.7319936324,96.891873075,109.59507243,83.753,91.7571975708008,4,4,4,85,26,9,25.6,8
"185","Oman",20064.0972268468,83.098291001,144.93062573,71.009,66.195726776123,1,42,31,19,137,55,56.8,45
"188","Pakistan",1410.02348745408,14.958557797,70.254483566,63.49,3.35714073181152,2,140,154,146,156,165,152.2,162.5
"190","Panama",14677.8456158614,58.010133825,146.29420672,82.174,55.3348125457764,1,55,90,18,44,71,55.6,41
